time,x
0.0,2.0
0.00010188585625637738,1.9999999490825306
0.0011207444188201512,1.9999938389862035
0.01112074441882015,1.9993933939587172
0.02112074441882015,1.997811948931231
0.03112074441882015,1.9952495039037448
0.04112074441882015,1.9917060588762585
0.051120744418820155,1.9871816138487723
0.06112074441882016,1.981676168821286
0.07112074441882016,1.9751897237937999
0.08112074441882015,1.9677222787663136
0.09112074441882015,1.9592738337388274
0.10112074441882014,1.949844388711341
0.11112074441882014,1.9394339436838548
0.12112074441882013,1.9280424986563685
0.13112074441882013,1.9156700536288822
0.14112074441882014,1.9023166086013958
0.15112074441882015,1.8879821635739096
0.16112074441882016,1.8726667185464234
0.17112074441882016,1.8563702735189371
0.18112074441882017,1.839092828491451
0.19112074441882018,1.8208343834639646
0.2011207444188202,1.8015949384364784
0.2111207444188202,1.7813744934089921
0.2211207444188202,1.760173048381506
0.23112074441882022,1.7379906033540196
0.24112074441882023,1.7148271583265333
0.2511207444188202,1.6906827132990472
0.2611207444188202,1.665557268271561
0.2711207444188202,1.6394508232440745
0.28112074441882023,1.6123633782165883
0.29112074441882024,1.5842949331891019
0.30112074441882025,1.5552454881616156
0.31112074441882026,1.5252150431341294
0.32112074441882027,1.494203598106643
0.3311207444188203,1.4622111530791568
0.3411207444188203,1.4292377080516705
0.3511207444188203,1.3952832630241843
0.3611207444188203,1.360347817996698
0.3711207444188203,1.3244313729692117
0.3811207444188203,1.2875339279417253
0.39112074441882033,1.249655482914239
0.40112074441882034,1.2107960378867526
0.41112074441882035,1.1709555928592663
0.42112074441882036,1.13013414783178
0.43112074441882037,1.0883317028042936
0.4411207444188204,1.0455482577768072
0.4511207444188204,1.0017838127493208
0.4611207444188204,0.9570383677218345
0.4711207444188204,0.9113119226943481
0.4811207444188204,0.8646044776668618
0.4911207444188204,0.8169160326393754
0.5011207444188204,0.7682465876118894
0.5111207444188204,0.718596142584403
0.5211207444188204,0.6679646975569166
0.5311207444188204,0.6163522525294302
0.5411207444188204,0.5637588075019437
0.5511207444188204,0.5101843624744573
0.5611207444188204,0.4556289174469709
0.5711207444188204,0.40009247241948453
0.5811207444188204,0.34357502739199813
0.5911207444188205,0.2860765823645117
0.6011207444188205,0.2275971373370253
0.6111207444188205,0.16813669230953887
0.6211207444188205,0.10769524728205246
0.6288996587977144,0.05999999999999993
0.6388996587977144,0.010152613229920157
0.6465170841226275,0.0033484810517196853
0.6541345094475407,0.02667505491146532
0.6606948474408363,0.06000000000000011
0.6706948474408363,0.11204422860993232
0.6806948474408363,0.16310745721986453
0.6906948474408363,0.21318968582979675
0.7006948474408363,0.26229091443972896
0.7106948474408363,0.31041114304966116
0.7206948474408363,0.35755037165959336
0.7306948474408363,0.40370860026952554
0.7406948474408364,0.4488858288794577
0.7506948474408364,0.4930820574893899
0.7606948474408364,0.536297286099322
0.7706948474408364,0.5785315147092542
0.7806948474408364,0.6197847433191864
0.7906948474408364,0.6600569719291186
0.8006948474408364,0.6993482005390508
0.8106948474408364,0.7376584291489829
0.8206948474408364,0.7749876577589151
0.8306948474408364,0.8113358863688472
0.8406948474408364,0.8467031149787794
0.8506948474408365,0.8810893435887115
0.8606948474408365,0.9144945721986436
0.8706948474408365,0.9469188008085757
0.8806948474408365,0.9783620294185078
0.8906948474408365,1.00882425802844
0.9006948474408365,1.038305486638372
0.9106948474408365,1.0668057152483041
0.9206948474408365,1.0943249438582363
0.9306948474408365,1.1208631724681684
0.9406948474408365,1.1464204010781005
0.9506948474408365,1.1709966296880325
0.9606948474408366,1.1945918582979647
0.9706948474408366,1.2172060869078967
0.9806948474408366,1.2388393155178288
0.9906948474408366,1.259491544127761
1.0006948474408366,1.279162772737693
1.0106948474408366,1.2978530013476253
1.0206948474408366,1.3155622299575573
1.0306948474408366,1.3322904585674895
1.0406948474408366,1.3480376871774216
1.0506948474408366,1.3628039157873537
1.0606948474408366,1.3765891443972857
1.0706948474408367,1.3893933730072179
1.0806948474408367,1.40121660161715
1.0906948474408367,1.412058830227082
1.1006948474408367,1.421920058837014
1.1106948474408367,1.430800287446946
1.1206948474408367,1.4386995160568783
1.1306948474408367,1.4456177446668104
1.1406948474408367,1.4515549732767425
1.1506948474408367,1.4565112018866746
1.1606948474408367,1.4604864304966068
1.1706948474408367,1.4634806591065388
1.1806948474408367,1.465493887716471
1.1906948474408368,1.466526116326403
1.2006948474408368,1.466577344936335
1.2106948474408368,1.465647573546267
1.2206948474408368,1.4637368021561992
1.2306948474408368,1.4608450307661311
1.2406948474408368,1.4569722593760632
1.2506948474408368,1.4521184879859952
1.2606948474408368,1.4462837165959272
1.2706948474408368,1.4394679452058594
1.2806948474408368,1.4316711738157915
1.2906948474408368,1.4228934024257236
1.3006948474408369,1.4131346310356556
1.3106948474408369,1.4023948596455877
1.3206948474408369,1.3906740882555197
1.3306948474408369,1.3779723168654519
1.340694847440837,1.3642895454753838
1.350694847440837,1.349625774085316
1.360694847440837,1.3339810026952479
1.370694847440837,1.31735523130518
1.380694847440837,1.299748459915112
1.390694847440837,1.281160688525044
1.400694847440837,1.2615919171349759
1.410694847440837,1.241042145744908
1.420694847440837,1.21951137435484
1.430694847440837,1.196999602964772
1.440694847440837,1.1735068315747041
1.450694847440837,1.1490330601846361
1.460694847440837,1.1235782887945682
1.470694847440837,1.0971425174045002
1.480694847440837,1.0697257460144323
1.490694847440837,1.0413279746243642
1.500694847440837,1.0119492032342963
1.510694847440837,0.9815894318442283
1.520694847440837,0.9502486604541603
1.530694847440837,0.9179268890640924
1.540694847440837,0.8846241176740244
